2,2,7,214;197;156;151;122;99;87
2,3,7,215;198;157;152;123;100;88
2,4,4,196;150;98;86
5,2,11,238;229;220;209;200;189;168;154;117;105;90
5,3,11,239;230;221;210;201;190;169;155;118;106;91
5,4,11,237;228;219;208;199;188;167;153;116;104;89
6,2,15,247;206;174;146;144;142;140;138;136;134;132;130;128;126;124
6,3,15,248;207;175;147;145;143;141;139;137;135;133;131;129;127;125
6,4,3,246;205;173
11,2,12,250;244;217;186;177;162;159;148;114;111;96;66
11,3,12,251;245;218;187;178;163;160;149;115;112;97;67
11,4,11,249;243;216;185;176;161;158;113;110;95;65
12,2,9,235;232;203;192;183;165;93;75;69
12,3,9,236;233;204;193;184;166;94;76;70
12,4,9,234;231;202;191;182;164;92;74;68
13,2,4,120;108;84;72
13,3,4,121;109;85;73
13,4,4,119;107;83;71
14,2,2,241;226
14,3,2,242;227
14,4,2,240;225
21,2,8,253;223;212;180;171;102;81;78
21,3,8,254;224;213;181;172;103;82;79
21,4,8,252;222;211;179;170;101;80;77
47,2,2,60;54
47,3,2,61;55
47,4,2,59;53
53,2,2,63;57
53,3,2,64;58
53,4,3,256;62;56
